periode,raum,bezirk_code,bezirk_text,gemeinde_code,gemeinde_text,anzahl_zimmer,beobachtungen,schatzwert,schatzbereich_von,schatzbereich_bis,vi_absolut,genauigkeit
2015/2019,BL,1305,Bezirk Waldenburg,2895,Waldenburg,Total,32.0,1202.6211312885787,1061.7251228174173,1343.51713975974,140.89600847116128,Schätzwert bedingt zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2763,Arlesheim,1-2,86.0,1007.3237381705695,929.0365294683113,1085.6109468728278,78.2872087022582,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2763,Arlesheim,3,223.0,1382.0980253476787,1337.1576600485703,1427.038390646787,44.94036529910839,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2763,Arlesheim,4,218.0,1712.0370042557063,1644.7777614546108,1779.2962470568018,67.25924280109543,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2763,Arlesheim,5+,71.0,2408.6305222418828,2266.3173045144295,2550.943739969336,142.31321772745312,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2770,Muttenz,1-2,130.0,966.0979492470532,922.5985282017075,1009.5973702923989,43.49942104534572,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2770,Muttenz,3,446.0,1262.7436257622437,1237.3252012412665,1288.1620502832209,25.418424520977165,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2770,Muttenz,4,418.0,1583.2192441422521,1541.6454747747487,1624.7930135097556,41.573769367503544,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2770,Muttenz,5+,129.0,1918.379226250838,1799.5033055466708,2037.255146955005,118.87592070416721,Schätzwert zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2821,Arisdorf,1-2,,,,,,Kein Schätzwert (vertraulich)
2015/2019,BL,1303,Bezirk Liestal,2821,Arisdorf,3,8.0,1285.93126603988,1099.7585698499088,1472.1039622298513,186.1726961899712,Schätzwert bedingt zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2821,Arisdorf,4,13.0,1601.22218654899,1465.6936231039995,1736.7507499939807,135.5285634449906,Schätzwert bedingt zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2821,Arisdorf,5+,9.0,1802.8749889660135,1598.8983320541665,2006.8516458778604,203.97665691184687,Schätzwert bedingt zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2822,Augst,1-2,9.0,925.4045132897952,810.6335747099275,1040.175451869663,114.77093857986772,Schätzwert bedingt zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2822,Augst,3,11.0,1193.9902211956553,1143.4322272058432,1244.5482151854674,50.55799398981197,Schätzwert bedingt zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2822,Augst,4,14.0,1817.5578127265715,1647.2252375271153,1987.8903879260276,170.3325751994561,Schätzwert bedingt zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2822,Augst,5+,,,,,,Kein Schätzwert (vertraulich)
2015/2019,BL,1303,Bezirk Liestal,2829,Liestal,1-2,147.0,1037.70686023436,989.4828537391436,1085.9308667295763,48.224006495216415,Schätzwert zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2829,Liestal,3,308.0,1246.2101893431793,1210.644721768538,1281.7756569178207,35.565467574641346,Schätzwert zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2829,Liestal,4,330.0,1521.2477399550392,1475.3933453213374,1567.102134588741,45.854394633701716,Schätzwert zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2829,Liestal,5+,63.0,2060.585837611826,1914.7760962959576,2206.3955789276943,145.80974131586822,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2841,Anwil,1-2,,,,,,Kein Schätzwert (vertraulich)
2015/2019,BL,1304,Bezirk Sissach,2841,Anwil,3,,,,,,Kein Schätzwert (vertraulich)
2015/2019,BL,1304,Bezirk Sissach,2841,Anwil,4,,,,,,Kein Schätzwert (vertraulich)
2015/2019,BL,1304,Bezirk Sissach,2841,Anwil,5+,,,,,,Kein Schätzwert (vertraulich)
2015/2019,BL,1304,Bezirk Sissach,2849,Itingen,1-2,9.0,926.0543826262623,854.1039358155605,998.0048294369641,71.95044681070179,Schätzwert bedingt zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2849,Itingen,3,18.0,1213.156885322415,1125.2188216420968,1301.0949490027333,87.93806368031812,Schätzwert bedingt zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2849,Itingen,4,29.0,1622.1017378364234,1517.5841190323406,1726.619356640506,104.5176188040827,Schätzwert bedingt zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2849,Itingen,5+,8.0,1924.249972865453,1700.6569592799149,2147.842986450991,223.59301358553807,Schätzwert bedingt zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2861,Sissach,1-2,48.0,996.7986057972363,917.4301507804815,1076.167060813991,79.36845501675472,Schätzwert bedingt zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2861,Sissach,3,113.0,1381.8916690580702,1303.8319393439165,1459.951398772224,78.05972971415365,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2861,Sissach,4,163.0,1680.108609795333,1621.6522419925964,1738.5649775980696,58.45636780273655,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2861,Sissach,5+,27.0,1994.3781813849405,1852.504631368104,2136.2517314017773,141.87355001683665,Schätzwert bedingt zuverlässig
2015/2019,BL,1305,Bezirk Waldenburg,2895,Waldenburg,1-2,,,,,,Kein Schätzwert (vertraulich)
2015/2019,BL,1305,Bezirk Waldenburg,2895,Waldenburg,3,12.0,1090.5103288249263,934.3005565037984,1246.7201011460543,156.2097723211279,Schätzwert bedingt zuverlässig
2015/2019,BL,1305,Bezirk Waldenburg,2895,Waldenburg,4,10.0,1165.3947341928526,1049.64695233186,1281.1425160538454,115.74778186099283,Schätzwert bedingt zuverlässig
2015/2019,BL,1305,Bezirk Waldenburg,2895,Waldenburg,5+,8.0,1765.1338537224035,1457.6152874865156,2072.6524199582914,307.51856623588776,Schätzwert bedingt zuverlässig
