jahr,quartal,gemeinde_nummer,gemeinde,bezirk_nummer,bezirk,anfangsbestand,geburten,todesfaelle,geburtenueberschuss,zuzuege,wegzuege,wanderungssaldo,bereinigung_saldo,gesamtveraenderung,endbestand
2023,2,2895,Waldenburg,1305,Bezirk Waldenburg,1121,4,6,-2,49,33,16,0,14,1135
2023,1,2763,Arlesheim,1301,Bezirk Arlesheim,9394,13,32,-19,138,130,8,-1,-12,9382
2023,1,2770,Muttenz,1301,Bezirk Arlesheim,18148,34,52,-18,280,221,59,0,41,18189
2023,1,2821,Arisdorf,1303,Bezirk Liestal,1726,4,4,0,25,15,10,0,10,1736
2023,1,2822,Augst,1303,Bezirk Liestal,1080,2,2,0,34,28,6,0,6,1086
2023,1,2829,Liestal,1303,Bezirk Liestal,15640,40,37,3,350,262,88,0,91,15731
2023,1,2841,Anwil,1304,Bezirk Sissach,537,1,2,-1,12,9,3,0,2,539
2023,1,2849,Itingen,1304,Bezirk Sissach,2348,4,4,0,72,36,36,0,36,2384
2023,1,2861,Sissach,1304,Bezirk Sissach,6905,10,17,-7,95,136,-41,0,-48,6857
2023,1,2895,Waldenburg,1305,Bezirk Waldenburg,1118,1,4,-3,29,23,6,0,3,1121
2022,4,2763,Arlesheim,1301,Bezirk Arlesheim,9382,11,26,-15,175,148,27,0,12,9394
2022,4,2770,Muttenz,1301,Bezirk Arlesheim,18106,39,55,-16,287,229,58,0,42,18148
2022,4,2821,Arisdorf,1303,Bezirk Liestal,1708,6,4,2,33,17,16,0,18,1726
2022,4,2822,Augst,1303,Bezirk Liestal,1082,2,5,-3,37,36,1,0,-2,1080
2022,4,2829,Liestal,1303,Bezirk Liestal,15580,41,41,0,371,311,60,0,60,15640
2022,4,2841,Anwil,1304,Bezirk Sissach,539,2,1,1,4,7,-3,0,-2,537
2022,4,2849,Itingen,1304,Bezirk Sissach,2356,2,9,-7,52,53,-1,0,-8,2348
2022,4,2861,Sissach,1304,Bezirk Sissach,6944,15,15,0,118,157,-39,0,-39,6905
2022,4,2895,Waldenburg,1305,Bezirk Waldenburg,1115,4,5,-1,38,34,4,0,3,1118
2022,3,2763,Arlesheim,1301,Bezirk Arlesheim,9352,11,28,-17,196,149,47,0,30,9382
2022,3,2770,Muttenz,1301,Bezirk Arlesheim,18093,30,41,-11,314,290,24,0,13,18106
2022,3,2821,Arisdorf,1303,Bezirk Liestal,1701,1,4,-3,32,22,10,0,7,1708
2022,3,2822,Augst,1303,Bezirk Liestal,1081,0,1,-1,44,42,2,0,1,1082
2022,3,2829,Liestal,1303,Bezirk Liestal,15413,37,36,1,491,325,166,0,167,15580
2022,3,2841,Anwil,1304,Bezirk Sissach,537,1,2,-1,9,6,3,0,2,539
2022,3,2849,Itingen,1304,Bezirk Sissach,2364,3,2,1,40,49,-9,0,-8,2356
2022,3,2861,Sissach,1304,Bezirk Sissach,6883,11,14,-3,172,108,64,0,61,6944
2022,3,2895,Waldenburg,1305,Bezirk Waldenburg,1120,0,3,-3,35,37,-2,0,-5,1115
2022,2,2763,Arlesheim,1301,Bezirk Arlesheim,9278,18,30,-12,214,128,86,0,74,9352
2022,2,2770,Muttenz,1301,Bezirk Arlesheim,18050,37,46,-9,290,238,52,0,43,18093
2022,2,2821,Arisdorf,1303,Bezirk Liestal,1715,2,5,-3,13,24,-11,0,-14,1701
2022,2,2822,Augst,1303,Bezirk Liestal,1069,5,2,3,34,25,9,0,12,1081
2022,2,2829,Liestal,1303,Bezirk Liestal,15242,39,34,5,439,273,166,0,171,15413
2022,2,2841,Anwil,1304,Bezirk Sissach,529,3,0,3,8,3,5,0,8,537
2022,2,2849,Itingen,1304,Bezirk Sissach,2348,6,6,0,62,46,16,0,16,2364
2022,2,2861,Sissach,1304,Bezirk Sissach,6869,14,12,2,128,116,12,0,14,6883
2022,2,2895,Waldenburg,1305,Bezirk Waldenburg,1129,1,2,-1,31,39,-8,0,-9,1120
2022,1,2763,Arlesheim,1301,Bezirk Arlesheim,9248,12,39,-27,157,100,57,0,30,9278
2022,1,2770,Muttenz,1301,Bezirk Arlesheim,18003,32,42,-10,243,186,57,0,47,18050
2022,1,2821,Arisdorf,1303,Bezirk Liestal,1710,2,3,-1,26,20,6,0,5,1715
2022,1,2822,Augst,1303,Bezirk Liestal,1049,1,2,-1,29,8,21,0,20,1069
2022,1,2829,Liestal,1303,Bezirk Liestal,15139,33,35,-2,337,232,105,0,103,15242
2022,1,2841,Anwil,1304,Bezirk Sissach,528,2,2,0,9,8,1,0,1,529
2022,1,2849,Itingen,1304,Bezirk Sissach,2319,5,5,0,61,32,29,0,29,2348
2022,1,2861,Sissach,1304,Bezirk Sissach,6826,13,13,0,141,98,43,0,43,6869
2022,1,2895,Waldenburg,1305,Bezirk Waldenburg,1131,3,1,2,27,31,-4,0,-2,1129
2021,4,2763,Arlesheim,1301,Bezirk Arlesheim,9232,20,35,-15,136,105,31,0,16,9248
2021,4,2770,Muttenz,1301,Bezirk Arlesheim,18018,34,60,-26,244,232,12,-1,-15,18003
2021,4,2821,Arisdorf,1303,Bezirk Liestal,1714,8,4,4,17,25,-8,0,-4,1710
2021,4,2822,Augst,1303,Bezirk Liestal,1071,1,1,0,15,37,-22,0,-22,1049
2021,4,2829,Liestal,1303,Bezirk Liestal,15025,22,38,-16,371,241,130,0,114,15139
2021,4,2841,Anwil,1304,Bezirk Sissach,534,1,2,-1,5,10,-5,0,-6,528
2021,4,2849,Itingen,1304,Bezirk Sissach,2303,7,3,4,56,44,12,0,16,2319
2021,4,2861,Sissach,1304,Bezirk Sissach,6804,16,18,-2,127,103,24,0,22,6826
2021,4,2895,Waldenburg,1305,Bezirk Waldenburg,1121,4,4,0,33,23,10,0,10,1131
2021,3,2763,Arlesheim,1301,Bezirk Arlesheim,9240,10,26,-16,160,152,8,0,-8,9232
2021,3,2770,Muttenz,1301,Bezirk Arlesheim,18020,36,35,1,283,286,-3,0,-2,18018
2021,3,2821,Arisdorf,1303,Bezirk Liestal,1714,6,1,5,23,28,-5,0,0,1714
2021,3,2822,Augst,1303,Bezirk Liestal,1057,3,4,-1,36,21,15,0,14,1071
2021,3,2829,Liestal,1303,Bezirk Liestal,14963,40,42,-2,402,338,64,0,62,15025
2021,3,2841,Anwil,1304,Bezirk Sissach,532,1,2,-1,14,11,3,0,2,534
2021,3,2849,Itingen,1304,Bezirk Sissach,2216,4,2,2,125,40,85,0,87,2303
2021,3,2861,Sissach,1304,Bezirk Sissach,6771,20,13,7,128,102,26,0,33,6804
2021,3,2895,Waldenburg,1305,Bezirk Waldenburg,1124,2,6,-4,25,24,1,0,-3,1121
2021,2,2763,Arlesheim,1301,Bezirk Arlesheim,9249,13,25,-12,140,137,3,0,-9,9240
2021,2,2770,Muttenz,1301,Bezirk Arlesheim,17964,42,46,-4,272,212,60,0,56,18020
2021,2,2821,Arisdorf,1303,Bezirk Liestal,1713,1,4,-3,27,23,4,0,1,1714
2021,2,2822,Augst,1303,Bezirk Liestal,1061,3,3,0,22,26,-4,0,-4,1057
2021,2,2829,Liestal,1303,Bezirk Liestal,14898,34,21,13,385,333,52,0,65,14963
2021,2,2841,Anwil,1304,Bezirk Sissach,534,2,4,-2,6,6,0,0,-2,532
2021,2,2849,Itingen,1304,Bezirk Sissach,2161,2,4,-2,90,33,57,0,55,2216
2021,2,2861,Sissach,1304,Bezirk Sissach,6770,17,16,1,121,121,0,0,1,6771
2021,2,2895,Waldenburg,1305,Bezirk Waldenburg,1121,0,2,-2,29,24,5,0,3,1124
2021,1,2763,Arlesheim,1301,Bezirk Arlesheim,9239,16,38,-22,136,104,32,0,10,9249
2021,1,2770,Muttenz,1301,Bezirk Arlesheim,17996,32,39,-7,244,269,-25,0,-32,17964
2021,1,2821,Arisdorf,1303,Bezirk Liestal,1699,2,1,1,38,25,13,0,14,1713
2021,1,2822,Augst,1303,Bezirk Liestal,1072,2,5,-3,11,19,-8,0,-11,1061
2021,1,2829,Liestal,1303,Bezirk Liestal,14798,41,26,15,312,227,85,0,100,14898
2021,1,2841,Anwil,1304,Bezirk Sissach,542,0,2,-2,4,10,-6,0,-8,534
2021,1,2849,Itingen,1304,Bezirk Sissach,2190,2,9,-7,15,37,-22,0,-29,2161
2021,1,2861,Sissach,1304,Bezirk Sissach,6713,12,14,-2,158,99,59,0,57,6770
2021,1,2895,Waldenburg,1305,Bezirk Waldenburg,1131,0,4,-4,23,29,-6,0,-10,1121
2020,4,2763,Arlesheim,1301,Bezirk Arlesheim,9203,17,28,-11,175,128,47,0,36,9239
2020,4,2770,Muttenz,1301,Bezirk Arlesheim,18078,37,67,-30,223,275,-52,0,-82,17996
2020,4,2821,Arisdorf,1303,Bezirk Liestal,1673,2,4,-2,59,31,28,0,26,1699
2020,4,2822,Augst,1303,Bezirk Liestal,1065,3,2,1,35,29,6,0,7,1072
2020,4,2829,Liestal,1303,Bezirk Liestal,14726,28,33,-5,373,296,77,0,72,14798
2020,4,2841,Anwil,1304,Bezirk Sissach,551,0,1,-1,5,13,-8,0,-9,542
2020,4,2849,Itingen,1304,Bezirk Sissach,2189,6,4,2,48,49,-1,0,1,2190
2020,4,2861,Sissach,1304,Bezirk Sissach,6702,19,14,5,123,117,6,0,11,6713
2020,4,2895,Waldenburg,1305,Bezirk Waldenburg,1150,2,3,-1,19,37,-18,0,-19,1131
2020,3,2763,Arlesheim,1301,Bezirk Arlesheim,9165,14,37,-23,192,131,61,0,38,9203
2020,3,2770,Muttenz,1301,Bezirk Arlesheim,18086,48,38,10,293,309,-16,-2,-8,18078
2020,3,2821,Arisdorf,1303,Bezirk Liestal,1659,4,1,3,34,23,11,0,14,1673
2020,3,2822,Augst,1303,Bezirk Liestal,1053,5,3,2,40,30,10,0,12,1065
2020,3,2829,Liestal,1303,Bezirk Liestal,14539,44,38,6,450,268,182,-1,187,14726
2020,3,2841,Anwil,1304,Bezirk Sissach,552,0,1,-1,6,6,0,0,-1,551
2020,3,2849,Itingen,1304,Bezirk Sissach,2179,3,1,2,39,31,8,0,10,2189
2020,3,2861,Sissach,1304,Bezirk Sissach,6691,25,12,13,133,135,-2,0,11,6702
2020,3,2895,Waldenburg,1305,Bezirk Waldenburg,1136,3,1,2,35,23,12,0,14,1150
2020,2,2763,Arlesheim,1301,Bezirk Arlesheim,9130,25,21,4,164,133,31,0,35,9165
2020,2,2770,Muttenz,1301,Bezirk Arlesheim,18006,28,52,-24,307,203,104,0,80,18086
2020,2,2821,Arisdorf,1303,Bezirk Liestal,1635,6,1,5,30,11,19,0,24,1659
2020,2,2822,Augst,1303,Bezirk Liestal,1044,2,4,-2,32,21,11,0,9,1053
2020,2,2829,Liestal,1303,Bezirk Liestal,14500,39,59,-20,285,226,59,0,39,14539
2020,2,2841,Anwil,1304,Bezirk Sissach,548,1,0,1,8,5,3,0,4,552
2020,2,2849,Itingen,1304,Bezirk Sissach,2167,5,3,2,41,31,10,0,12,2179
2020,2,2861,Sissach,1304,Bezirk Sissach,6702,14,13,1,92,104,-12,0,-11,6691
2020,2,2895,Waldenburg,1305,Bezirk Waldenburg,1135,2,2,0,22,21,1,0,1,1136
2020,1,2763,Arlesheim,1301,Bezirk Arlesheim,9171,13,27,-14,108,135,-27,0,-41,9130
2020,1,2770,Muttenz,1301,Bezirk Arlesheim,17971,43,56,-13,258,210,48,0,35,18006
2020,1,2821,Arisdorf,1303,Bezirk Liestal,1662,5,7,-2,13,38,-25,0,-27,1635
2020,1,2822,Augst,1303,Bezirk Liestal,1050,2,4,-2,33,37,-4,0,-6,1044
2020,1,2829,Liestal,1303,Bezirk Liestal,14410,27,18,9,322,241,81,0,90,14500
2020,1,2841,Anwil,1304,Bezirk Sissach,553,1,0,1,3,9,-6,0,-5,548
2020,1,2849,Itingen,1304,Bezirk Sissach,2161,3,3,0,37,31,6,0,6,2167
2020,1,2861,Sissach,1304,Bezirk Sissach,6698,18,16,2,127,125,2,0,4,6702
2020,1,2895,Waldenburg,1305,Bezirk Waldenburg,1119,4,2,2,43,29,14,0,16,1135
2019,4,2763,Arlesheim,1301,Bezirk Arlesheim,9150,15,14,1,134,114,20,0,21,9171
2019,4,2770,Muttenz,1301,Bezirk Arlesheim,17982,42,52,-10,231,232,-1,0,-11,17971
2019,4,2821,Arisdorf,1303,Bezirk Liestal,1674,0,2,-2,17,27,-10,0,-12,1662
2019,4,2822,Augst,1303,Bezirk Liestal,1040,2,3,-1,30,19,11,0,10,1050
2019,4,2829,Liestal,1303,Bezirk Liestal,14404,32,35,-3,312,303,9,0,6,14410
2019,4,2841,Anwil,1304,Bezirk Sissach,558,3,1,2,1,8,-7,0,-5,553
2019,4,2849,Itingen,1304,Bezirk Sissach,2171,3,2,1,33,44,-11,0,-10,2161
2019,4,2861,Sissach,1304,Bezirk Sissach,6711,18,6,12,99,124,-25,0,-13,6698
2019,4,2895,Waldenburg,1305,Bezirk Waldenburg,1106,3,0,3,34,24,10,0,13,1119
2019,3,2763,Arlesheim,1301,Bezirk Arlesheim,9122,24,21,3,171,146,25,0,28,9150
2019,3,2770,Muttenz,1301,Bezirk Arlesheim,17969,37,48,-11,294,270,24,0,13,17982
2019,3,2821,Arisdorf,1303,Bezirk Liestal,1670,1,2,-1,24,19,5,0,4,1674
2019,3,2822,Augst,1303,Bezirk Liestal,1038,4,1,3,34,35,-1,0,2,1040
2019,3,2829,Liestal,1303,Bezirk Liestal,14452,30,34,-4,298,342,-44,0,-48,14404
2019,3,2841,Anwil,1304,Bezirk Sissach,562,1,1,0,10,14,-4,0,-4,558
