jahr,gemeinde_nummer,gemeinde,bfs_bezirk,bezirk,nationalitaet_code,nationalitaet,anzahl_personen
1987,2821,Arisdorf,1303,Bezirk Liestal,2,Ausland,48
1987,2822,Augst,1303,Bezirk Liestal,1,Schweiz,719
1987,2822,Augst,1303,Bezirk Liestal,2,Ausland,143
1987,2829,Liestal,1303,Bezirk Liestal,1,Schweiz,9300
1987,2829,Liestal,1303,Bezirk Liestal,2,Ausland,2745
1987,2841,Anwil,1304,Bezirk Sissach,1,Schweiz,334
1987,2841,Anwil,1304,Bezirk Sissach,2,Ausland,6
1987,2849,Itingen,1304,Bezirk Sissach,1,Schweiz,1262
1987,2849,Itingen,1304,Bezirk Sissach,2,Ausland,133
1987,2861,Sissach,1304,Bezirk Sissach,1,Schweiz,4303
1987,2861,Sissach,1304,Bezirk Sissach,2,Ausland,741
1987,2895,Waldenburg,1305,Bezirk Waldenburg,1,Schweiz,965
1987,2895,Waldenburg,1305,Bezirk Waldenburg,2,Ausland,224
1988,2763,Arlesheim,1301,Bezirk Arlesheim,1,Schweiz,6847
1988,2763,Arlesheim,1301,Bezirk Arlesheim,2,Ausland,1694
1988,2770,Muttenz,1301,Bezirk Arlesheim,1,Schweiz,14682
1988,2770,Muttenz,1301,Bezirk Arlesheim,2,Ausland,2524
1988,2821,Arisdorf,1303,Bezirk Liestal,1,Schweiz,1049
1988,2821,Arisdorf,1303,Bezirk Liestal,2,Ausland,47
1988,2822,Augst,1303,Bezirk Liestal,1,Schweiz,710
1988,2822,Augst,1303,Bezirk Liestal,2,Ausland,141
1988,2829,Liestal,1303,Bezirk Liestal,1,Schweiz,9336
1988,2829,Liestal,1303,Bezirk Liestal,2,Ausland,2800
1988,2841,Anwil,1304,Bezirk Sissach,1,Schweiz,321
1988,2841,Anwil,1304,Bezirk Sissach,2,Ausland,7
1988,2849,Itingen,1304,Bezirk Sissach,1,Schweiz,1268
1988,2849,Itingen,1304,Bezirk Sissach,2,Ausland,144
1988,2861,Sissach,1304,Bezirk Sissach,1,Schweiz,4349
1988,2861,Sissach,1304,Bezirk Sissach,2,Ausland,738
1988,2895,Waldenburg,1305,Bezirk Waldenburg,1,Schweiz,951
1988,2895,Waldenburg,1305,Bezirk Waldenburg,2,Ausland,237
1989,2763,Arlesheim,1301,Bezirk Arlesheim,1,Schweiz,6805
1989,2763,Arlesheim,1301,Bezirk Arlesheim,2,Ausland,1693
1989,2770,Muttenz,1301,Bezirk Arlesheim,1,Schweiz,14575
1989,2770,Muttenz,1301,Bezirk Arlesheim,2,Ausland,2499
1989,2821,Arisdorf,1303,Bezirk Liestal,1,Schweiz,1039
1989,2821,Arisdorf,1303,Bezirk Liestal,2,Ausland,52
1989,2822,Augst,1303,Bezirk Liestal,1,Schweiz,691
1989,2822,Augst,1303,Bezirk Liestal,2,Ausland,143
1989,2829,Liestal,1303,Bezirk Liestal,1,Schweiz,9402
1989,2829,Liestal,1303,Bezirk Liestal,2,Ausland,2877
1989,2841,Anwil,1304,Bezirk Sissach,1,Schweiz,312
1989,2841,Anwil,1304,Bezirk Sissach,2,Ausland,11
1989,2849,Itingen,1304,Bezirk Sissach,1,Schweiz,1265
1989,2849,Itingen,1304,Bezirk Sissach,2,Ausland,150
1989,2861,Sissach,1304,Bezirk Sissach,1,Schweiz,4337
1989,2861,Sissach,1304,Bezirk Sissach,2,Ausland,734
1989,2895,Waldenburg,1305,Bezirk Waldenburg,1,Schweiz,955
1989,2895,Waldenburg,1305,Bezirk Waldenburg,2,Ausland,253
1990,2763,Arlesheim,1301,Bezirk Arlesheim,1,Schweiz,6850
1990,2763,Arlesheim,1301,Bezirk Arlesheim,2,Ausland,1730
1990,2770,Muttenz,1301,Bezirk Arlesheim,1,Schweiz,14546
1990,2770,Muttenz,1301,Bezirk Arlesheim,2,Ausland,2536
1990,2821,Arisdorf,1303,Bezirk Liestal,1,Schweiz,1051
1990,2821,Arisdorf,1303,Bezirk Liestal,2,Ausland,57
1990,2822,Augst,1303,Bezirk Liestal,1,Schweiz,679
1990,2822,Augst,1303,Bezirk Liestal,2,Ausland,151
