jahr,bfs_nummer,gemeinde,falle,flache_in_m2,quadratmeterpreis_chf
2011,2763,Arlesheim,28,10200,1261
2011,2770,Muttenz,5,6900,866
2011,2821,Arisdorf,7,1700,622
2011,2822,Augst,,,
2011,2829,Liestal,21,42800,914
2011,2841,Anwil,,,
2011,2849,Itingen,8,9900,461
2011,2861,Sissach,6,20300,773
2011,2895,Waldenburg,( ),( ),( )
2012,2763,Arlesheim,19,6300,1359
2012,2770,Muttenz,17,11100,1273
2012,2821,Arisdorf,( ),( ),( )
2012,2822,Augst,( ),( ),( )
2012,2829,Liestal,22,14700,623
2012,2841,Anwil,( ),( ),( )
2012,2849,Itingen,3,2200,633
2012,2861,Sissach,15,13300,627
2012,2895,Waldenburg,( ),( ),( )
2013,2763,Arlesheim,12,22700,1523
2013,2770,Muttenz,( ),( ),( )
2013,2821,Arisdorf,4,2300,472
2013,2822,Augst,5,15000,419
2013,2829,Liestal,12,9000,827
2013,2841,Anwil,3,2000,379
2013,2849,Itingen,8,3600,593
2013,2861,Sissach,12,11200,883
2013,2895,Waldenburg,( ),( ),( )
2014,2763,Arlesheim,6,3000,1056
2014,2770,Muttenz,16,6900,1277
2014,2821,Arisdorf,3,3600,424
2014,2822,Augst,( ),( ),( )
2014,2829,Liestal,10,18800,938
2014,2841,Anwil,( ),( ),( )
2014,2849,Itingen,4,1600,627
2014,2861,Sissach,31,7300,751
2014,2895,Waldenburg,( ),( ),( )
2015,2763,Arlesheim,3,1800,1298
2015,2770,Muttenz,17,5800,1135
2015,2821,Arisdorf,( ),( ),( )
2015,2822,Augst,( ),( ),( )
2015,2829,Liestal,10,16600,721
2015,2841,Anwil,( ),( ),( )
2015,2849,Itingen,3,10500,661
2015,2861,Sissach,3,2000,768
2015,2895,Waldenburg,,,
2016,2763,Arlesheim,6,6400,1469
2016,2770,Muttenz,5,5200,1476
2016,2821,Arisdorf,,,
2016,2822,Augst,( ),( ),( )
2016,2829,Liestal,14,11600,915
2016,2841,Anwil,( ),( ),( )
2016,2849,Itingen,( ),( ),( )
2016,2861,Sissach,4,2300,885
2016,2895,Waldenburg,,,
2017,2763,Arlesheim,12,13900,1717
2017,2770,Muttenz,11,8700,1682
2017,2821,Arisdorf,,,
2017,2822,Augst,,,
2017,2829,Liestal,28,25500,807
2017,2841,Anwil,,,
2017,2849,Itingen,3,2600,489
2017,2861,Sissach,7,8100,763
2017,2895,Waldenburg,( ),( ),( )
2018,2763,Arlesheim,10,17400,1167
2018,2770,Muttenz,4,4500,1029
2018,2821,Arisdorf,3,2100,556
2018,2822,Augst,( ),( ),( )
2018,2829,Liestal,8,26300,861
2018,2841,Anwil,( ),( ),( )
2018,2849,Itingen,9,11700,575
2018,2861,Sissach,8,5900,960
2018,2895,Waldenburg,( ),( ),( )
2019,2763,Arlesheim,13,19700,1655
2019,2770,Muttenz,8,3800,1590
2019,2821,Arisdorf,4,3900,748
2019,2822,Augst,( ),( ),( )
2019,2829,Liestal,5,8600,1199
2019,2841,Anwil,( ),( ),( )
2019,2849,Itingen,4,9700,657
2019,2861,Sissach,( ),( ),( )
2019,2895,Waldenburg,( ),( ),( )
