jahr,bfs_nummer,gemeinde,haushaltsgrosse,wert
2020,2829,Liestal,4_Personen,770
2020,2841,Anwil,4_Personen,31
2020,2849,Itingen,4_Personen,151
2020,2861,Sissach,4_Personen,376
2020,2895,Waldenburg,4_Personen,41
2020,2763,Arlesheim,5_Personen,148
2020,2770,Muttenz,5_Personen,268
2020,2821,Arisdorf,5_Personen,33
2020,2822,Augst,5_Personen,12
2020,2829,Liestal,5_Personen,272
2020,2841,Anwil,5_Personen,11
2020,2849,Itingen,5_Personen,35
2020,2861,Sissach,5_Personen,105
2020,2895,Waldenburg,5_Personen,25
2020,2763,Arlesheim,6_oder_mehr_Personen,34
2020,2770,Muttenz,6_oder_mehr_Personen,76
2020,2821,Arisdorf,6_oder_mehr_Personen,12
2020,2822,Augst,6_oder_mehr_Personen,6
2020,2829,Liestal,6_oder_mehr_Personen,92
2020,2841,Anwil,6_oder_mehr_Personen,2
2020,2849,Itingen,6_oder_mehr_Personen,12
2020,2861,Sissach,6_oder_mehr_Personen,39
2020,2895,Waldenburg,6_oder_mehr_Personen,10
2019,2763,Arlesheim,1_Person,1592
2019,2770,Muttenz,1_Person,2784
2019,2821,Arisdorf,1_Person,150
2019,2822,Augst,1_Person,211
2019,2829,Liestal,1_Person,2321
2019,2841,Anwil,1_Person,53
2019,2849,Itingen,1_Person,220
2019,2861,Sissach,1_Person,1013
2019,2895,Waldenburg,1_Person,201
2019,2763,Arlesheim,2_Personen,1412
2019,2770,Muttenz,2_Personen,2834
2019,2821,Arisdorf,2_Personen,277
2019,2822,Augst,2_Personen,204
2019,2829,Liestal,2_Personen,2251
2019,2841,Anwil,2_Personen,86
2019,2849,Itingen,2_Personen,346
2019,2861,Sissach,2_Personen,1075
2019,2895,Waldenburg,2_Personen,177
2019,2763,Arlesheim,3_Personen,497
2019,2770,Muttenz,3_Personen,1006
2019,2821,Arisdorf,3_Personen,111
2019,2822,Augst,3_Personen,58
2019,2829,Liestal,3_Personen,779
2019,2841,Anwil,3_Personen,39
2019,2849,Itingen,3_Personen,128
2019,2861,Sissach,3_Personen,375
2019,2895,Waldenburg,3_Personen,62
2019,2763,Arlesheim,4_Personen,516
2019,2770,Muttenz,4_Personen,1058
2019,2821,Arisdorf,4_Personen,92
2019,2822,Augst,4_Personen,36
2019,2829,Liestal,4_Personen,744
2019,2841,Anwil,4_Personen,31
2019,2849,Itingen,4_Personen,146
2019,2861,Sissach,4_Personen,378
2019,2895,Waldenburg,4_Personen,42
2019,2763,Arlesheim,5_Personen,157
2019,2770,Muttenz,5_Personen,272
2019,2821,Arisdorf,5_Personen,29
2019,2822,Augst,5_Personen,12
2019,2829,Liestal,5_Personen,281
2019,2841,Anwil,5_Personen,12
2019,2849,Itingen,5_Personen,37
2019,2861,Sissach,5_Personen,107
2019,2895,Waldenburg,5_Personen,20
2019,2763,Arlesheim,6_oder_mehr_Personen,33
2019,2770,Muttenz,6_oder_mehr_Personen,79
2019,2821,Arisdorf,6_oder_mehr_Personen,13
2019,2822,Augst,6_oder_mehr_Personen,5
2019,2829,Liestal,6_oder_mehr_Personen,90
2019,2841,Anwil,6_oder_mehr_Personen,4
2019,2849,Itingen,6_oder_mehr_Personen,11
2019,2861,Sissach,6_oder_mehr_Personen,40
2019,2895,Waldenburg,6_oder_mehr_Personen,11
2018,2763,Arlesheim,1_Person,1573
2018,2770,Muttenz,1_Person,2735
2018,2821,Arisdorf,1_Person,151
2018,2822,Augst,1_Person,202
2018,2829,Liestal,1_Person,2267
2018,2841,Anwil,1_Person,47
2018,2849,Itingen,1_Person,195
2018,2861,Sissach,1_Person,980
2018,2895,Waldenburg,1_Person,199
2018,2763,Arlesheim,2_Personen,1392
2018,2770,Muttenz,2_Personen,2845
2018,2821,Arisdorf,2_Personen,256
2018,2822,Augst,2_Personen,213
2018,2829,Liestal,2_Personen,2220
2018,2841,Anwil,2_Personen,90
2018,2849,Itingen,2_Personen,343
2018,2861,Sissach,2_Personen,1064
2018,2895,Waldenburg,2_Personen,167
2018,2763,Arlesheim,3_Personen,536
2018,2770,Muttenz,3_Personen,1012
2018,2821,Arisdorf,3_Personen,102
2018,2822,Augst,3_Personen,53
2018,2829,Liestal,3_Personen,775
2018,2841,Anwil,3_Personen,37
2018,2849,Itingen,3_Personen,130
2018,2861,Sissach,3_Personen,379
2018,2895,Waldenburg,3_Personen,67
2018,2763,Arlesheim,4_Personen,499
2018,2770,Muttenz,4_Personen,1053
2018,2821,Arisdorf,4_Personen,107
2018,2822,Augst,4_Personen,35
2018,2829,Liestal,4_Personen,758
2018,2841,Anwil,4_Personen,38
2018,2849,Itingen,4_Personen,147
2018,2861,Sissach,4_Personen,378
2018,2895,Waldenburg,4_Personen,40
2018,2763,Arlesheim,5_Personen,155
2018,2770,Muttenz,5_Personen,274
2018,2821,Arisdorf,5_Personen,29
2018,2822,Augst,5_Personen,8
2018,2829,Liestal,5_Personen,286
2018,2841,Anwil,5_Personen,12
2018,2849,Itingen,5_Personen,39
2018,2861,Sissach,5_Personen,112
2018,2895,Waldenburg,5_Personen,21
2018,2763,Arlesheim,6_oder_mehr_Personen,33
2018,2770,Muttenz,6_oder_mehr_Personen,73
2018,2821,Arisdorf,6_oder_mehr_Personen,12
2018,2822,Augst,6_oder_mehr_Personen,6
2018,2829,Liestal,6_oder_mehr_Personen,92
2018,2841,Anwil,6_oder_mehr_Personen,2
2018,2849,Itingen,6_oder_mehr_Personen,13
2018,2861,Sissach,6_oder_mehr_Personen,43
2018,2895,Waldenburg,6_oder_mehr_Personen,9
2017,2763,Arlesheim,1_Person,1556
2017,2770,Muttenz,1_Person,2705
2017,2821,Arisdorf,1_Person,138
2017,2822,Augst,1_Person,195
2017,2829,Liestal,1_Person,2280
2017,2841,Anwil,1_Person,49
2017,2849,Itingen,1_Person,206
2017,2861,Sissach,1_Person,958
2017,2895,Waldenburg,1_Person,197
2017,2763,Arlesheim,2_Personen,1391
2017,2770,Muttenz,2_Personen,2824
2017,2821,Arisdorf,2_Personen,267
2017,2822,Augst,2_Personen,211
2017,2829,Liestal,2_Personen,2166
2017,2841,Anwil,2_Personen,80
2017,2849,Itingen,2_Personen,336
2017,2861,Sissach,2_Personen,1054
2017,2895,Waldenburg,2_Personen,172
2017,2763,Arlesheim,3_Personen,568
2017,2770,Muttenz,3_Personen,1061
2017,2821,Arisdorf,3_Personen,101
2017,2822,Augst,3_Personen,58
2017,2829,Liestal,3_Personen,789
2017,2841,Anwil,3_Personen,34
2017,2849,Itingen,3_Personen,124
2017,2861,Sissach,3_Personen,382
2017,2895,Waldenburg,3_Personen,60
2017,2763,Arlesheim,4_Personen,490
2017,2770,Muttenz,4_Personen,1016
2017,2821,Arisdorf,4_Personen,103
2017,2822,Augst,4_Personen,34
2017,2829,Liestal,4_Personen,760
2017,2841,Anwil,4_Personen,42
2017,2849,Itingen,4_Personen,143
2017,2861,Sissach,4_Personen,381
2017,2895,Waldenburg,4_Personen,39
2017,2763,Arlesheim,5_Personen,155
2017,2770,Muttenz,5_Personen,285
2017,2821,Arisdorf,5_Personen,31
2017,2822,Augst,5_Personen,7
2017,2829,Liestal,5_Personen,274
2017,2841,Anwil,5_Personen,15
2017,2849,Itingen,5_Personen,39
2017,2861,Sissach,5_Personen,112
2017,2895,Waldenburg,5_Personen,27
2017,2763,Arlesheim,6_oder_mehr_Personen,38
2017,2770,Muttenz,6_oder_mehr_Personen,75
2017,2821,Arisdorf,6_oder_mehr_Personen,11
2017,2822,Augst,6_oder_mehr_Personen,5
2017,2829,Liestal,6_oder_mehr_Personen,91
2017,2841,Anwil,6_oder_mehr_Personen,2
2017,2849,Itingen,6_oder_mehr_Personen,8
2017,2861,Sissach,6_oder_mehr_Personen,43
2017,2895,Waldenburg,6_oder_mehr_Personen,14
2016,2763,Arlesheim,1_Person,1521
2016,2770,Muttenz,1_Person,2714
2016,2821,Arisdorf,1_Person,142
2016,2822,Augst,1_Person,190
2016,2829,Liestal,1_Person,2176
2016,2841,Anwil,1_Person,46
2016,2849,Itingen,1_Person,196
2016,2861,Sissach,1_Person,964
2016,2895,Waldenburg,1_Person,192
2016,2763,Arlesheim,2_Personen,1434
2016,2770,Muttenz,2_Personen,2830
2016,2821,Arisdorf,2_Personen,262
2016,2822,Augst,2_Personen,217
2016,2829,Liestal,2_Personen,2193
2016,2841,Anwil,2_Personen,81
2016,2849,Itingen,2_Personen,344
2016,2861,Sissach,2_Personen,1055
2016,2895,Waldenburg,2_Personen,177
2016,2763,Arlesheim,3_Personen,557
2016,2770,Muttenz,3_Personen,1040
2016,2821,Arisdorf,3_Personen,104
2016,2822,Augst,3_Personen,56
2016,2829,Liestal,3_Personen,776
2016,2841,Anwil,3_Personen,37
2016,2849,Itingen,3_Personen,132
2016,2861,Sissach,3_Personen,402
2016,2895,Waldenburg,3_Personen,65
2016,2763,Arlesheim,4_Personen,502
2016,2770,Muttenz,4_Personen,989
2016,2821,Arisdorf,4_Personen,102
2016,2822,Augst,4_Personen,29
2016,2829,Liestal,4_Personen,752
2016,2841,Anwil,4_Personen,45
2016,2849,Itingen,4_Personen,139
2016,2861,Sissach,4_Personen,379
2016,2895,Waldenburg,4_Personen,47
2016,2763,Arlesheim,5_Personen,160
2016,2770,Muttenz,5_Personen,291
2016,2821,Arisdorf,5_Personen,36
2016,2822,Augst,5_Personen,8
2016,2829,Liestal,5_Personen,278
2016,2841,Anwil,5_Personen,11
2016,2849,Itingen,5_Personen,39
2016,2861,Sissach,5_Personen,116
2016,2895,Waldenburg,5_Personen,28
2016,2763,Arlesheim,6_oder_mehr_Personen,35
2016,2770,Muttenz,6_oder_mehr_Personen,80
2016,2821,Arisdorf,6_oder_mehr_Personen,12
2016,2822,Augst,6_oder_mehr_Personen,5
2016,2829,Liestal,6_oder_mehr_Personen,90
2016,2841,Anwil,6_oder_mehr_Personen,4
2016,2849,Itingen,6_oder_mehr_Personen,8
2016,2861,Sissach,6_oder_mehr_Personen,41
2016,2895,Waldenburg,6_oder_mehr_Personen,13
2015,2763,Arlesheim,1_Person,1505
2015,2770,Muttenz,1_Person,2715
2015,2821,Arisdorf,1_Person,141
2015,2822,Augst,1_Person,193
2015,2829,Liestal,1_Person,2129
2015,2841,Anwil,1_Person,48
2015,2849,Itingen,1_Person,198
2015,2861,Sissach,1_Person,932
2015,2895,Waldenburg,1_Person,187
2015,2763,Arlesheim,2_Personen,1429
2015,2770,Muttenz,2_Personen,2765
2015,2821,Arisdorf,2_Personen,263
2015,2822,Augst,2_Personen,194
2015,2829,Liestal,2_Personen,2192
2015,2841,Anwil,2_Personen,74
2015,2849,Itingen,2_Personen,330
2015,2861,Sissach,2_Personen,1047
2015,2895,Waldenburg,2_Personen,168
2015,2763,Arlesheim,3_Personen,557
2015,2770,Muttenz,3_Personen,1034
2015,2821,Arisdorf,3_Personen,89
2015,2822,Augst,3_Personen,51
2015,2829,Liestal,3_Personen,771
2015,2841,Anwil,3_Personen,40
2015,2849,Itingen,3_Personen,143
2015,2861,Sissach,3_Personen,388
2015,2895,Waldenburg,3_Personen,64
2015,2763,Arlesheim,4_Personen,495
