periode,raum,bezirk_code,bezirk_text,gemeinde_code,gemeinde_text,bewohnertyp_code,bewohnertyp_text,beobachtungen,schatzwert,schatzbereich_von,schatzbereich_bis,vi_absolut,vi_prozent,genauigkeit
2010/2014,BL,1303,Bezirk Liestal,2829,Liestal,1,Mieter/innen oder Untermieter/innen,750.0,3345.6482790879,3123.93059734639,3567.36596082941,221.717681741511,6.6270469351894,Schätzwert zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2829,Liestal,2,Genossenschafter/innen,25.0,99.3975706127,62.9142794106869,135.880861814713,36.4832912020131,36.7044093503747,Schätzwert bedingt zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2829,Liestal,3,Stockwerk-/Wohnungseigentümer/innen,155.0,616.0010984834,526.612912798673,705.389284168127,89.388185684727,14.5110432278127,Schätzwert zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2829,Liestal,4,Hauseigentümer/innen,444.0,1475.8089733125,1350.34033894804,1601.27760767696,125.468634364456,8.50168528809237,Schätzwert zuverlässig
2010/2014,BL,1303,Bezirk Liestal,2829,Liestal,5,andere Situation/unbekannt,59.0,194.8598209036,148.472698965044,241.246942842156,46.387121938556,23.8053805671434,Schätzwert zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2841,Anwil,1,Mieter/innen oder Untermieter/innen,11.0,40.0775443967,18.5912077143997,61.5638810790004,21.4863366823003,53.6119091270211,Schätzwert bedingt zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2841,Anwil,3,Stockwerk-/Wohnungseigentümer/innen,,,,,,,Kein Schätzwert (vertraulich)
2010/2014,BL,1304,Bezirk Sissach,2841,Anwil,4,Hauseigentümer/innen,36.0,103.1892220307,71.5208490664884,134.857594994912,31.6683729642116,30.6896130632615,Schätzwert bedingt zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2841,Anwil,5,andere Situation/unbekannt,9.0,25.8304833263,10.911872189863,40.749094462737,14.918611136437,57.7558342520334,Schätzwert bedingt zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2849,Itingen,1,Mieter/innen oder Untermieter/innen,70.0,301.5254435743,236.08745593481,366.96343121379,65.4379876394895,21.7023103801072,Schätzwert zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2849,Itingen,2,Genossenschafter/innen,,,,,,,Kein Schätzwert (vertraulich)
2010/2014,BL,1304,Bezirk Sissach,2849,Itingen,3,Stockwerk-/Wohnungseigentümer/innen,7.0,21.497744242,7.4814302778656,35.5140582061344,14.0163139641344,65.1989985849344,Schätzwert bedingt zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2849,Itingen,4,Hauseigentümer/innen,148.0,501.5183316431,428.069841723858,574.966821562342,73.4484899192422,14.6452253656624,Schätzwert zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2849,Itingen,5,andere Situation/unbekannt,10.0,31.5847524119,13.4625385995788,49.7069662242212,18.1222138123212,57.3764630983569,Schätzwert bedingt zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2861,Sissach,1,Mieter/innen oder Untermieter/innen,354.0,1546.5770370926,1397.77414572234,1695.37992846286,148.802891370258,9.62143416082213,Schätzwert zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2861,Sissach,2,Genossenschafter/innen,,,,,,,Kein Schätzwert (vertraulich)
2010/2014,BL,1304,Bezirk Sissach,2861,Sissach,3,Stockwerk-/Wohnungseigentümer/innen,71.0,273.2966583852,214.479332721658,332.113984048742,58.8173256635424,21.5214214513526,Schätzwert zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2861,Sissach,4,Hauseigentümer/innen,234.0,750.9571340281,662.481782022578,839.432486033622,88.4753520055224,11.7816780740792,Schätzwert zuverlässig
2010/2014,BL,1304,Bezirk Sissach,2861,Sissach,5,andere Situation/unbekannt,28.0,93.2322648863,60.3457275110648,126.118802261535,32.8865373752352,35.2737728889688,Schätzwert bedingt zuverlässig
2010/2014,BL,1305,Bezirk Waldenburg,2895,Waldenburg,1,Mieter/innen oder Untermieter/innen,51.0,256.8267102827,192.138876044826,321.514544520574,64.6878342378736,25.1873468171083,Schätzwert zuverlässig
2010/2014,BL,1305,Bezirk Waldenburg,2895,Waldenburg,3,Stockwerk-/Wohnungseigentümer/innen,,,,,,,Kein Schätzwert (vertraulich)
2010/2014,BL,1305,Bezirk Waldenburg,2895,Waldenburg,4,Hauseigentümer/innen,57.0,191.4168100202,144.753558853404,238.080061186996,46.6632511667959,24.3778230145365,Schätzwert zuverlässig
2010/2014,BL,1305,Bezirk Waldenburg,2895,Waldenburg,5,andere Situation/unbekannt,8.0,20.7923069078,7.83772082754611,33.7468929880539,12.9545860802539,62.3047078792115,Schätzwert bedingt zuverlässig
