periode,raum,bezirk_code,bezirk_text,gemeinde_code,gemeinde_text,bewohnertyp_code,bewohnertyp_text,beobachtungen,schatzwert,schatzbereich_von,schatzbereich_bis,vi_absolut,vi_prozent,genauigkeit
2015/2019,BL,1301,Bezirk Arlesheim,2771,Oberwil (BL),Total,Total,1302.0,5006.5644818423,4753.85006599254,5259.27889769206,252.71441584976,5.0476612608566,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2771,Oberwil (BL),1,Mieter/innen oder Untermieter/innen,563.0,2455.9610918816,2267.34695629963,2644.57522746357,188.614135581967,7.67985031218322,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2771,Oberwil (BL),2,Genossenschafter/innen,11.0,43.6161476456,19.1160670296001,68.1162282615999,24.5000806159999,56.1720416371332,Schätzwert bedingt zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2771,Oberwil (BL),3,Stockwerk-/Wohnungseigentümer/innen,166.0,658.4538362146,564.537972930595,752.369699498605,93.9158632840049,14.26309000247,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2771,Oberwil (BL),4,Hauseigentümer/innen,532.0,1737.8627222503,1600.35577420075,1875.36967029985,137.506948049553,7.91241714831769,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2771,Oberwil (BL),5,andere Situation/unbekannt,30.0,110.6706838502,73.7519744036931,147.589393296707,36.9187094465069,33.3590686911078,Schätzwert bedingt zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2771,Oberwil (BL),Total,Total,1307.0,5056.5999563271,4804.33773798635,5308.86217466785,252.262218340746,4.98877151681936,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2771,Oberwil (BL),1,Mieter/innen oder Untermieter/innen,591.0,2531.2341196513,2341.82245962935,2720.64577967325,189.411660021947,7.48297672473064,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2771,Oberwil (BL),2,Genossenschafter/innen,18.0,78.5678059473,44.6483322135943,112.487279681006,33.9194737337057,43.1722298016792,Schätzwert bedingt zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2771,Oberwil (BL),3,Stockwerk-/Wohnungseigentümer/innen,134.0,522.5027350583,440.893739461809,604.111730654791,81.608995596491,15.6188647677385,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2771,Oberwil (BL),4,Hauseigentümer/innen,524.0,1805.009690328,1663.1976474527,1946.8217332033,141.812042875297,7.85658069511677,Schätzwert zuverlässig
2010/2014,BL,1301,Bezirk Arlesheim,2771,Oberwil (BL),5,andere Situation/unbekannt,40.0,119.2856053422,84.087006271941,154.484204412459,35.198599070259,29.5078345532834,Schätzwert bedingt zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2762,Allschwil,Total,Total,2384.0,10140.6651091591,9767.98057119116,10513.349647127,372.684537967937,3.67514885814863,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2763,Arlesheim,Total,Total,1084.0,4535.4673888669,4280.72298319838,4790.21179453542,254.744405668519,5.61671783362028,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2765,Binningen,Total,Total,1758.0,7286.011731211,6971.19121704764,7600.83224537436,314.820514163362,4.3208894766772,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2766,Birsfelden,Total,Total,1095.0,4924.3353972219,4654.36767929506,5194.30311514874,269.967717926843,5.48231783885288,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2767,Bottmingen,Total,Total,739.0,2918.3388114187,2722.26028829734,3114.41733454006,196.078523121359,6.71884026467916,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2768,Ettingen,Total,Total,578.0,2224.5670762344,2054.62028364526,2394.51386882354,169.946792589137,7.63954453901256,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2769,Münchenstein,Total,Total,1319.0,5466.9713863237,5191.76218922913,5742.18058341827,275.209197094572,5.03403397689333,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2770,Muttenz,Total,Total,2047.0,8282.1268190336,7949.16668550305,8615.08695256415,332.960133530552,4.02022500748671,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2772,Pfeffingen,Total,Total,254.0,836.3687728005,741.386801553134,931.350744047866,94.9819712473656,11.3564702959112,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2774,Schönenbuch,Total,Total,176.0,618.8739307908,533.869333278724,703.878528302876,85.0045975120762,13.7353656831945,Schätzwert zuverlässig
2015/2019,BL,1301,Bezirk Arlesheim,2775,Therwil,Total,Total,1118.0,4126.11492492,3901.87349731781,4350.35635252219,224.241427602195,5.43468690723738,Schätzwert zuverlässig
2015/2019,BL,1302,Bezirk Laufen,2781,Blauen,Total,Total,90.0,329.4773342914,265.044707335899,393.909961246901,64.4326269555014,19.5560119769924,Schätzwert zuverlässig
2015/2019,BL,1302,Bezirk Laufen,2782,Brislach,Total,Total,205.0,728.0022052672,634.360033740947,821.644376793453,93.6421715262531,12.8628966847543,Schätzwert zuverlässig
2015/2019,BL,1302,Bezirk Laufen,2784,Dittingen,Total,Total,69.0,276.6095454618,212.675206702061,340.543884221539,63.9343387597393,23.113569220108,Schätzwert zuverlässig
2015/2019,BL,1302,Bezirk Laufen,2785,Duggingen,Total,Total,176.0,620.0954188233,533.643994584271,706.546843062329,86.4514242390295,13.9416324673194,Schätzwert zuverlässig
2015/2019,BL,1302,Bezirk Laufen,2786,Grellingen,Total,Total,202.0,786.7882900213,684.244000385782,889.332579656818,102.544289635518,13.0332760332188,Schätzwert zuverlässig
2015/2019,BL,1302,Bezirk Laufen,2787,Laufen,Total,Total,595.0,2467.3115628681,2277.00391745027,2657.61920828593,190.30764541783,7.71315825215885,Schätzwert zuverlässig
2015/2019,BL,1302,Bezirk Laufen,2788,Liesberg,Total,Total,124.0,483.5680913007,402.805892207082,564.330290394318,80.7621990936177,16.7013085740177,Schätzwert zuverlässig
2015/2019,BL,1302,Bezirk Laufen,2789,Nenzlingen,Total,Total,48.0,183.6246312008,132.15310669863,235.09615570297,51.47152450217,28.030838872528,Schätzwert bedingt zuverlässig
2015/2019,BL,1302,Bezirk Laufen,2790,Roggenburg,Total,Total,26.0,88.4191444925,55.5726793788043,121.265609606196,32.8464651136957,37.1485895981292,Schätzwert bedingt zuverlässig
2015/2019,BL,1302,Bezirk Laufen,2791,Röschenz,Total,Total,209.0,759.2928464291,662.2270739892,856.358618869,97.0657724398998,12.783706957914,Schätzwert zuverlässig
2015/2019,BL,1302,Bezirk Laufen,2792,Wahlen,Total,Total,188.0,657.7683490415,569.63299645756,745.903701625441,88.1353525839405,13.399147695746,Schätzwert zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2821,Arisdorf,Total,Total,176.0,613.2763370953,528.286364992384,698.266309198217,84.9899721029165,13.8583485065574,Schätzwert zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2822,Augst,Total,Total,107.0,455.2517841756,374.679849429605,535.823718921595,80.5719347459951,17.6983237730523,Schätzwert zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2823,Bubendorf,Total,Total,506.0,1847.0823319318,1695.67904340914,1998.48562045447,151.403288522665,8.19688900192757,Schätzwert zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2824,Frenkendorf,Total,Total,720.0,2816.5572997584,2623.87504907097,3009.23955044583,192.682250687426,6.84105559308003,Schätzwert zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2825,Füllinsdorf,Total,Total,523.0,2134.8776230056,1962.27565253613,2307.47959347508,172.601970469475,8.08486484702932,Schätzwert zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2826,Giebenach,Total,Total,123.0,448.493901352,375.081279411312,521.906523292688,73.4126219406878,16.3687001583261,Schätzwert zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2827,Hersberg,Total,Total,46.0,158.0525653918,115.673254263933,200.431876519667,42.3793111278667,26.8134281925837,Schätzwert bedingt zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2828,Lausen,Total,Total,584.0,2263.1841402961,2091.71430394837,2434.65397664383,171.469836347734,7.57648630063749,Schätzwert zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2829,Liestal,Total,Total,1555.0,6413.6441172281,6117.09474906835,6710.19348538785,296.549368159746,4.62372658568887,Schätzwert zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2830,Lupsingen,Total,Total,177.0,623.7272047147,537.491355000691,709.963054428709,86.235849714009,13.8258920024908,Schätzwert zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2831,Pratteln,Total,Total,1722.0,7154.9064834812,6841.78761984043,7468.02534712197,313.118863640766,4.37628170771589,Schätzwert zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2832,Ramlinsburg,Total,Total,70.0,225.2060400516,176.894616359955,273.517463743245,48.3114236916453,21.4520994554924,Schätzwert zuverlässig
2015/2019,BL,1303,Bezirk Liestal,2833,Seltisberg,Total,Total,154.0,546.0162309243,465.334085861325,626.698375987276,80.6821450629755,14.7765103843884,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2841,Anwil,Total,Total,51.0,179.5210287499,133.535065025039,225.506992474761,45.9859637248606,25.6159203437531,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2842,Böckten,Total,Total,100.0,364.5779339959,298.294665810699,430.861202181101,66.2832681852008,18.1808228102873,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2843,Buckten,Total,Total,70.0,254.4117204538,199.071143603184,309.752297304416,55.3405768506156,21.7523692508754,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2844,Buus,Total,Total,99.0,363.5479755941,296.538390728337,430.557560459863,67.0095848657633,18.4321160793862,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2845,Diepflingen,Total,Total,75.0,267.5813673908,210.631616655123,324.531118126477,56.9497507356771,21.283152594292,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2846,Gelterkinden,Total,Total,688.0,2688.195818667,2500.5037576825,2875.8878796515,187.692060984504,6.98208291528312,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2847,Häfelfingen,Total,Total,19.0,64.1677671657,37.4979877908101,90.83754654059,26.66977937489,41.5625797076915,Schätzwert bedingt zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2848,Hemmiken,Total,Total,31.0,125.1020435783,83.9668966029623,166.237190553638,41.1351469753377,32.8812749965924,Schätzwert bedingt zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2849,Itingen,Total,Total,228.0,873.418779809,766.78988669517,980.04767292283,106.62889311383,12.2082207961166,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2850,Känerkinden,Total,Total,60.0,202.5482316501,155.568073056308,249.528390243892,46.9801585937922,23.1945538161745,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2852,Läufelfingen,Total,Total,138.0,513.518912505,431.074313077317,595.963511932683,82.4445994276834,16.0548321434764,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2853,Maisprach,Total,Total,128.0,451.2827647478,377.689885966544,524.875643529056,73.5928787812562,16.3074871300223,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2854,Nusshof,Total,Total,26.0,82.2822773178,53.6527008601141,110.911853775486,28.6295764576859,34.7943413708757,Schätzwert bedingt zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2855,Oltingen,Total,Total,52.0,202.2460434263,150.622410712975,253.869676139625,51.6236327133248,25.5251632312584,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2856,Ormalingen,Total,Total,224.0,846.4934018223,738.286104267861,954.70069937674,108.20729755444,12.7830054341233,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2858,Rothenfluh,Total,Total,87.0,323.7864896583,259.324065349773,388.248913966827,64.4624243085274,19.9089296086925,Schätzwert zuverlässig
2015/2019,BL,1304,Bezirk Sissach,2859,Rümlingen,Total,Total,38.0,142.1031903292,100.223269259004,183.983111399396,41.8799210701957,29.4714854558688,Schätzwert bedingt zuverlässig
