jahr,gemeinde_nummer,gemeinde,bfs_bezirk,bezirk,nationalitaet_code,nationalitaet,anzahl_personen
1995,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,90
1995,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,6
1995,2857,Rickenbach (BL),1304,Bezirk Sissach,1,Schweiz,476
1995,2857,Rickenbach (BL),1304,Bezirk Sissach,2,Ausland,38
1995,2892,Oberdorf (BL),1305,Bezirk Waldenburg,1,Schweiz,1858
1995,2892,Oberdorf (BL),1305,Bezirk Waldenburg,2,Ausland,348
1996,2761,Aesch (BL),1301,Bezirk Arlesheim,1,Schweiz,7797
1996,2761,Aesch (BL),1301,Bezirk Arlesheim,2,Ausland,2115
1996,2773,Reinach (BL),1301,Bezirk Arlesheim,1,Schweiz,15506
1996,2773,Reinach (BL),1301,Bezirk Arlesheim,2,Ausland,2536
1996,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,92
1996,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,8
1996,2857,Rickenbach (BL),1304,Bezirk Sissach,1,Schweiz,476
1996,2857,Rickenbach (BL),1304,Bezirk Sissach,2,Ausland,43
1996,2892,Oberdorf (BL),1305,Bezirk Waldenburg,1,Schweiz,1932
1996,2892,Oberdorf (BL),1305,Bezirk Waldenburg,2,Ausland,356
1997,2761,Aesch (BL),1301,Bezirk Arlesheim,1,Schweiz,7932
1997,2761,Aesch (BL),1301,Bezirk Arlesheim,2,Ausland,2126
1997,2773,Reinach (BL),1301,Bezirk Arlesheim,1,Schweiz,15519
1997,2773,Reinach (BL),1301,Bezirk Arlesheim,2,Ausland,2569
1997,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,91
1997,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,7
1997,2857,Rickenbach (BL),1304,Bezirk Sissach,1,Schweiz,472
1997,2857,Rickenbach (BL),1304,Bezirk Sissach,2,Ausland,40
1997,2892,Oberdorf (BL),1305,Bezirk Waldenburg,1,Schweiz,1959
1997,2892,Oberdorf (BL),1305,Bezirk Waldenburg,2,Ausland,378
1998,2761,Aesch (BL),1301,Bezirk Arlesheim,1,Schweiz,7936
1998,2761,Aesch (BL),1301,Bezirk Arlesheim,2,Ausland,2126
1998,2773,Reinach (BL),1301,Bezirk Arlesheim,1,Schweiz,15579
1998,2773,Reinach (BL),1301,Bezirk Arlesheim,2,Ausland,2679
1998,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,94
1998,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,5
1998,2857,Rickenbach (BL),1304,Bezirk Sissach,1,Schweiz,474
1998,2857,Rickenbach (BL),1304,Bezirk Sissach,2,Ausland,34
1998,2892,Oberdorf (BL),1305,Bezirk Waldenburg,1,Schweiz,1963
1998,2892,Oberdorf (BL),1305,Bezirk Waldenburg,2,Ausland,403
1999,2761,Aesch (BL),1301,Bezirk Arlesheim,1,Schweiz,7909
1999,2761,Aesch (BL),1301,Bezirk Arlesheim,2,Ausland,2199
1999,2773,Reinach (BL),1301,Bezirk Arlesheim,1,Schweiz,15542
1999,2773,Reinach (BL),1301,Bezirk Arlesheim,2,Ausland,2853
1999,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,102
1999,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,5
1999,2857,Rickenbach (BL),1304,Bezirk Sissach,1,Schweiz,477
1999,2857,Rickenbach (BL),1304,Bezirk Sissach,2,Ausland,29
1999,2892,Oberdorf (BL),1305,Bezirk Waldenburg,1,Schweiz,1949
1999,2892,Oberdorf (BL),1305,Bezirk Waldenburg,2,Ausland,409
2000,2761,Aesch (BL),1301,Bezirk Arlesheim,1,Schweiz,7852
2000,2761,Aesch (BL),1301,Bezirk Arlesheim,2,Ausland,2233
2000,2773,Reinach (BL),1301,Bezirk Arlesheim,1,Schweiz,15646
2000,2773,Reinach (BL),1301,Bezirk Arlesheim,2,Ausland,2874
2000,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,104
2000,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,6
2000,2857,Rickenbach (BL),1304,Bezirk Sissach,1,Schweiz,487
2000,2857,Rickenbach (BL),1304,Bezirk Sissach,2,Ausland,42
2000,2892,Oberdorf (BL),1305,Bezirk Waldenburg,1,Schweiz,1923
2000,2892,Oberdorf (BL),1305,Bezirk Waldenburg,2,Ausland,415
2001,2761,Aesch (BL),1301,Bezirk Arlesheim,1,Schweiz,7754
2001,2761,Aesch (BL),1301,Bezirk Arlesheim,2,Ausland,2132
2001,2773,Reinach (BL),1301,Bezirk Arlesheim,1,Schweiz,15757
2001,2773,Reinach (BL),1301,Bezirk Arlesheim,2,Ausland,2940
2001,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,101
2001,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,6
2001,2857,Rickenbach (BL),1304,Bezirk Sissach,1,Schweiz,497
2001,2857,Rickenbach (BL),1304,Bezirk Sissach,2,Ausland,45
2001,2892,Oberdorf (BL),1305,Bezirk Waldenburg,1,Schweiz,1905
2001,2892,Oberdorf (BL),1305,Bezirk Waldenburg,2,Ausland,437
2002,2761,Aesch (BL),1301,Bezirk Arlesheim,1,Schweiz,7729
2002,2761,Aesch (BL),1301,Bezirk Arlesheim,2,Ausland,2147
2002,2773,Reinach (BL),1301,Bezirk Arlesheim,1,Schweiz,15727
2002,2773,Reinach (BL),1301,Bezirk Arlesheim,2,Ausland,2961
2002,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,98
