jahr,bfs_nummer,gemeinde,indikator,wert
2019,2882,Bennwil,Anzahl_Steuerpflichtige,375.0
2019,2883,Bretzwil,Anzahl_Steuerpflichtige,464.0
2019,2884,Diegten,Anzahl_Steuerpflichtige,965.0
2019,2885,Eptingen,Anzahl_Steuerpflichtige,333.0
2019,2886,Hölstein,Anzahl_Steuerpflichtige,1494.0
2019,2887,Lampenberg,Anzahl_Steuerpflichtige,303.0
2019,2888,Langenbruck,Anzahl_Steuerpflichtige,674.0
2019,2889,Lauwil,Anzahl_Steuerpflichtige,212.0
2019,2890,Liedertswil,Anzahl_Steuerpflichtige,96.0
2019,2891,Niederdorf,Anzahl_Steuerpflichtige,1130.0
2019,2893,Reigoldswil,Anzahl_Steuerpflichtige,983.0
2019,2894,Titterten,Anzahl_Steuerpflichtige,262.0
2019,2895,Waldenburg,Anzahl_Steuerpflichtige,715.0
2019,2762,Allschwil,Steuerbares_Einkommen_CHF,913135532.0
2019,2763,Arlesheim,Steuerbares_Einkommen_CHF,516429749.0
2019,2765,Binningen,Steuerbares_Einkommen_CHF,976468268.0
2019,2766,Birsfelden,Steuerbares_Einkommen_CHF,368320500.0
2019,2767,Bottmingen,Steuerbares_Einkommen_CHF,478692260.0
2019,2768,Ettingen,Steuerbares_Einkommen_CHF,233668134.0
2019,2769,Münchenstein,Steuerbares_Einkommen_CHF,499980437.0
2019,2770,Muttenz,Steuerbares_Einkommen_CHF,776135172.0
2019,2772,Pfeffingen,Steuerbares_Einkommen_CHF,141657779.0
2019,2774,Schönenbuch,Steuerbares_Einkommen_CHF,68230890.0
2019,2775,Therwil,Steuerbares_Einkommen_CHF,476679036.0
2019,2781,Blauen,Steuerbares_Einkommen_CHF,30619983.0
2019,2782,Brislach,Steuerbares_Einkommen_CHF,57211047.0
2019,2784,Dittingen,Steuerbares_Einkommen_CHF,24815180.0
2019,2785,Duggingen,Steuerbares_Einkommen_CHF,62722224.0
2019,2786,Grellingen,Steuerbares_Einkommen_CHF,63998366.0
2019,2787,Laufen,Steuerbares_Einkommen_CHF,202350459.0
2019,2788,Liesberg,Steuerbares_Einkommen_CHF,38574752.0
2019,2789,Nenzlingen,Steuerbares_Einkommen_CHF,17503315.0
2019,2790,Roggenburg,Steuerbares_Einkommen_CHF,8579015.0
2019,2791,Röschenz,Steuerbares_Einkommen_CHF,80207216.0
2019,2792,Wahlen,Steuerbares_Einkommen_CHF,51924973.0
2019,2821,Arisdorf,Steuerbares_Einkommen_CHF,71871032.0
2019,2822,Augst,Steuerbares_Einkommen_CHF,43974449.0
2019,2823,Bubendorf,Steuerbares_Einkommen_CHF,173563359.0
2019,2824,Frenkendorf,Steuerbares_Einkommen_CHF,238934963.0
2019,2825,Füllinsdorf,Steuerbares_Einkommen_CHF,190869240.0
2019,2826,Giebenach,Steuerbares_Einkommen_CHF,40986475.0
2019,2827,Hersberg,Steuerbares_Einkommen_CHF,15125316.0
2019,2828,Lausen,Steuerbares_Einkommen_CHF,191515990.0
2019,2829,Liestal,Steuerbares_Einkommen_CHF,554017737.0
2019,2830,Lupsingen,Steuerbares_Einkommen_CHF,59418484.0
2019,2831,Pratteln,Steuerbares_Einkommen_CHF,567803334.0
2019,2832,Ramlinsburg,Steuerbares_Einkommen_CHF,35710499.0
2019,2833,Seltisberg,Steuerbares_Einkommen_CHF,65243543.0
2019,2841,Anwil,Steuerbares_Einkommen_CHF,18955513.0
2019,2842,Böckten,Steuerbares_Einkommen_CHF,35065762.0
2019,2843,Buckten,Steuerbares_Einkommen_CHF,24487409.0
2019,2844,Buus,Steuerbares_Einkommen_CHF,38832391.0
2019,2845,Diepflingen,Steuerbares_Einkommen_CHF,28403656.0
2019,2846,Gelterkinden,Steuerbares_Einkommen_CHF,229867515.0
2019,2847,Häfelfingen,Steuerbares_Einkommen_CHF,9767777.0
2019,2848,Hemmiken,Steuerbares_Einkommen_CHF,9710218.0
2019,2849,Itingen,Steuerbares_Einkommen_CHF,79357141.0
2019,2850,Känerkinden,Steuerbares_Einkommen_CHF,21567408.0
2019,2852,Läufelfingen,Steuerbares_Einkommen_CHF,46624956.0
2019,2853,Maisprach,Steuerbares_Einkommen_CHF,42147975.0
2019,2854,Nusshof,Steuerbares_Einkommen_CHF,11866035.0
2019,2855,Oltingen,Steuerbares_Einkommen_CHF,16126891.0
2019,2856,Ormalingen,Steuerbares_Einkommen_CHF,87977504.0
2019,2858,Rothenfluh,Steuerbares_Einkommen_CHF,28180087.0
2019,2859,Rümlingen,Steuerbares_Einkommen_CHF,12742897.0
2019,2860,Rünenberg,Steuerbares_Einkommen_CHF,28743558.0
2019,2861,Sissach,Steuerbares_Einkommen_CHF,287305505.0
2019,2862,Tecknau,Steuerbares_Einkommen_CHF,25828899.0
2019,2863,Tenniken,Steuerbares_Einkommen_CHF,36068354.0
2019,2864,Thürnen,Steuerbares_Einkommen_CHF,50748891.0
2019,2865,Wenslingen,Steuerbares_Einkommen_CHF,26256775.0
2019,2866,Wintersingen,Steuerbares_Einkommen_CHF,23527518.0
2019,2867,Wittinsburg,Steuerbares_Einkommen_CHF,17322504.0
2019,2881,Arboldswil,Steuerbares_Einkommen_CHF,25765667.0
2019,2882,Bennwil,Steuerbares_Einkommen_CHF,24253476.0
2019,2883,Bretzwil,Steuerbares_Einkommen_CHF,24083334.0
2019,2884,Diegten,Steuerbares_Einkommen_CHF,57806124.0
2019,2885,Eptingen,Steuerbares_Einkommen_CHF,17249609.0
